Tid i minutter;Rør 1 Københavngata;Rør 2 Københavngata;Rør 3 Københavngata;Rør 1 Deichmans gate;Rør 2 Deichmans gate;Rør 3 Deichmans gate;Rør 1 Maridalsveien;Rør 2 Maridalsveien
0;1,5;1;1,5;0;0;0;0;0
1;7;3,8;6;2,5;0,22;0,04;3,7;2,4
2;9,5;6,1;10;4;0,44;0,08;5,7;4,6
3;11;8,1;13,5;5,7;0,66;0,12;7,5;6,1
4;13;10,2;16,5;7;0,88;0,16;9;7,5
5;14,25;11,8;19,5;8,3;1,1;0,2;10,5;9
6;15,5;13,5;22;9,1;1,2;0,26;11,7;10,4
7;16,75;15,1;24,5;10,1;1,3;0,32;13;11,6
8;17,75;16,5;26,75;11,1;1,4;0,38;14;12,9
9;19;17,9;29;11,9;1,5;0,44;15,2;14,3
10;20;19,4;31;12,7;1,6;0,5;16,4;15,5
11;20,75;20,7;32,5;13,5;1,72;0,6;17,4;16,6
12;21,75;21,9;34,25;14,3;1,84;0,7;18,4;17,7
13;22,5;23;36;15,1;1,96;0,8;19,3;18,8
14;23,5;24,2;37,5;15,8;2,08;0,9;20,3;20
15;24;25,3;38,75;16,5;2,2;1;21,3;21,2
16;25;26,3;40;17,1;2,28;1,08;22,1;22,1
17;25,5;27,2;41,25;17,7;2,36;1,16;22,9;23
18;26;28,3;19;18,3;2,44;1,24;23,7;23,9
19;27;28,9;21,25;18,9;2,52;1,32;24,6;24,8
20;27,5;30,1;23,25;19,5;2,6;1,4;25,5;25,7
21;28;31;25,25;20,1;2,7;1,45;26,2;26,6
22;29;31,6;27,25;20,7;2,8;1,5;26,9;27,5
23;29,5;32,5;29;21,3;2,9;1,54;27,6;28,4
24;30;33,2;30,5;21,9;3;1,58;28,3;29,4
25;30,5;34,1;32,25;22,5;3,1;1,62;29;30,4
26;31;34,8;33,75;23;3,16;1,66;29,8;31,3
27;31,5;35,5;35;23,5;3,22;1,7;30,6;32,2
28;32;36;36,25;24;3,27;1,73;31,4;33,1
29;32,5;36,9;37,5;24,5;3,32;1,76;32,2;34
30;33;37,4;38,5;25;3,37;1,79;7,3;6
31;33,5;38;1,75;25,4;3,42;1,82;8,6;7,3
32;34;25;4,25;25,9;3,47;1,85;9,9;8,6
33;34,5;25,8;7;26,3;3,52;1,88;11,2;9,9
34;35;26,6;9,5;26,8;3,56;1,91;12,6;11,2
35;35,5;27,2;12;27,2;3,6;1,94;14;12,5
36;36;27,9;14,25;27,9;3,64;1,97;15;13,6
37;36,5;28,3;16,25;28,6;3,68;2;16;14,7
38;37;28,8;18,25;29,2;3,72;2,03;17;15,8
39;37,4;29,2;20,25;29,9;3,76;2,06;18;16,9
40;37,8;29,9;22;3,5;3,8;2,09;19;17,8
41;38;30,4;23,75;4,1;3,83;2,12;19,9;18,8
42;38,5;31;25,5;4,7;3,86;2,14;20,8;19,8
43;39;31,6;27;5,3;3,89;2,16;21,7;20,8
44;39,4;32,2;28,75;5,9;3,92;2,18;22,6;21,9
45;39,8;32,7;30,25;6,5;3,95;2,2;23,5;23
46;40,1;33,2;31,5;7,1;3,98;2,22;24,3;23,9
47;40,25;33,8;32,75;7,7;4,01;2,24;25,1;24,8
48;40,75;34,2;34;8,3;4,04;2,26;25,9;25,7
49;41;34,8;35,25;8,8;4,07;2,28;26,7;26,6
50;41,25;35,1;36,5;9,4;4,1;2,3;27,5;27,4
51;41,5;35,4;37,5;9,9;4,12;2,31;28,3;28,3
52;42;35,9;38,75;10,4;4,14;2,32;29,1;29,2
53;42,5;36,5;39,75;11;4,16;2,33;29,9;30,1
54;42,75;37;40,5;11,5;4,18;2,34;30,7;31
55;43;2,8;41,5;12;4,2;2,35;5,4;6,8
56;43,2;4;2,5;12,5;4,22;2,36;6,5;7,9
57;43,5;5;5;13;4,24;2,37;7,6;9
58;20;6,1;7,25;13,5;4,26;2,38;8,7;10,1
59;21,5;7;9,5;14;4,28;2,39;9,8;11,3
60;22,5;8,2;11,75;14,5;4,3;2,4;10,7;12,5
61;23,5;9,1;13,75;14,9;4,31;2,41;11,7;13,6
62;24,5;10,1;15,75;15,3;4,32;2,42;12,7;14,7
63;25;11,2;17,5;15,7;4,33;2,43;13,7;15,8
64;26;11,8;19,25;16,2;4,34;2,44;14,7;17
65;26,8;12,8;21;16,6;4,35;2,45;15,8;18,3
66;27,5;13,8;22,5;17,1;4,36;2,46;16,6;19,2
67;28;14,5;24;17,6;4,37;2,47;17,4;20,1
68;29;15,2;25,5;18,1;4,38;2,48;18,2;21
69;29,5;16,1;26,75;18,6;4,39;2,49;19,1;22
70;30;17,1;28,25;2,8;4,4;2,5;20;23
71;30,5;17,8;29,5;3,4;4,41;2,51;20,7;23,8
72;31;18,4;30,5;4;4,42;2,52;21,4;24,6
73;31,5;19;31,75;4,6;4,43;2,53;22,1;25,4
74;32,2;19,8;33;5,1;4,44;2,54;22,9;26,2
75;32,8;20,6;34;5,6;4,45;2,55;23,6;27,2
76;33,2;21,1;35;6,1;4,46;2,56;24,3;28
77;33,8;21,8;36;6,7;4,47;2,57;25;28,8
78;34,25;22,5;36,6;7,2;4,48;2,58;25,7;29,6
79;34,75;23,1;37,1;7,8;4,49;2,59;26,4;30,3
80;35,25;23,8;37,5;8,3;4,5;2,6;27;31
